building_size,land_size,price,bedroom_count,bathroom_count,parking_count,property_type,product_depth
210.0,804.0,559000.0,4.0,2.0,2.0,House,premiere
210.0,742.0,630000.0,3.0,1.0,4.0,House,standard
165.0,153.0,429000.0,3.0,2.0,2.0,Unit,premiere
210.0,715.0,555000.0,3.0,2.0,2.0,House,premiere
107.0,153.0,300000.0,2.0,1.0,1.0,Unit,premiere
135.0,153.0,300000.0,2.0,2.0,1.0,Unit,standard
95.0,153.0,220000.0,2.0,1.0,1.0,Unit,premiere
212.0,640.0,575000.0,3.0,2.0,2.0,House,premiere
266.0,1030.0,799000.0,4.0,2.0,10.0,House,premiere
210.0,827.0,480000.0,3.0,1.0,2.0,House,premiere
135.0,178.0,549000.0,2.0,2.0,2.0,Apartment,premiere
48.0,178.0,299000.0,1.0,1.0,1.0,Apartment,premiere
138.0,815.0,380000.0,3.0,1.0,1.0,House,premiere
135.0,146.0,395000.0,3.0,1.0,1.0,Apartment,premiere
210.0,804.0,555000.0,3.0,2.0,2.0,House,premiere
107.0,153.0,377500.0,1.0,1.0,1.0,Unit,premiere
107.0,127.0,475000.0,2.0,2.0,2.0,Unit,premiere
